0, 3, 1, 7, 3, 2, 1, 2, 2, 23, 1, 3, 2, 2, 3
3, 0, 4, 5, 1, 2, 3, 2, 3, 28, 4, 3, 3, 3, 2
1, 4, 0, 6, 6, 2, 1, 2, 2, 29, 2, 3, 2, 1, 2
7, 5, 6, 0, 6, 5, 6, 6, 5, 32, 7, 5, 7, 4, 5
3, 1, 6, 6, 0, 1, 3, 2, 4, 27, 3, 4, 2, 3, 1
2, 2, 2, 5, 1, 0, 2, 2, 3, 22, 4, 3, 2, 2, 1
1, 3, 1, 6, 3, 2, 0, 1, 2, 23, 1, 3, 1, 2, 2
2, 2, 2, 6, 2, 2, 1, 0, 2, 20, 3, 4, 2, 3, 2
2, 3, 2, 5, 4, 3, 2, 2, 0, 22, 2, 2, 1, 1, 3
23, 28, 29, 32, 27, 22, 23, 20, 22, 0, 22, 30, 21, 30, 21
1, 4, 2, 7, 3, 4, 1, 3, 2, 22, 0, 3, 2, 3, 3
3, 3, 3, 5, 4, 3, 3, 4, 2, 30, 3, 0, 4, 1, 3
2, 3, 2, 7, 2, 2, 1, 2, 1, 21, 2, 4, 0, 2, 1
2, 3, 1, 4, 3, 2, 2, 3, 1, 30, 3, 1, 2, 0, 2
3, 2, 2, 5, 1, 1, 2, 2, 3, 21, 3, 3, 1, 2, 0
